dataset,C,estimator_count,p_svm,mean_acc,std_acc,min_acc,max_acc
Mushroom Data Set,0.1,50,1.0,0.9991924941265631,0.00012591360166489454,0.9990151572565364,0.9995075407351269
Mushroom Data Set,1.0,50,1.0,0.9999950769230769,2.411805285201298e-05,0.9998769230769231,1.0
Mushroom Data Set,10.0,50,1.0,1.0,0.0,1.0,1.0
Mushroom Data Set,50.0,50,1.0,1.0,0.0,1.0,1.0
Wisconsin Breast Cancer,0.1,50,1.0,0.9524142213941934,0.003581432047012591,0.9454898307716194,0.9578481602235678
Wisconsin Breast Cancer,1.0,50,1.0,0.9574761682968483,0.0034443540939672625,0.9508150908244062,0.9648346530041918
Wisconsin Breast Cancer,10.0,50,1.0,0.9620475081509083,0.003262412379803293,0.9543083372147182,0.9666511411271541
Wisconsin Breast Cancer,50.0,50,1.0,0.9630988976866945,0.0031394652546609223,0.9578171091445427,0.9683744760130415
Wine Quality - Red,0.1,50,1.0,0.7070393416927899,0.013004687226896289,0.6753957680250784,0.7266653605015674
Wine Quality - Red,1.0,50,1.0,0.713742868338558,0.011793255818637402,0.6860442789968652,0.7342104231974922
Wine Quality - Red,10.0,50,1.0,0.7152438087774295,0.011129115426607473,0.6885384012539184,0.7329584639498433
Wine Quality - Red,50.0,50,1.0,0.717394514106583,0.010171346817820351,0.6947903605015673,0.7348432601880878
Car Evaluation,0.1,50,1.0,0.7873339029907013,0.014359324756277832,0.7563826757141661,0.8199899472229204
Car Evaluation,1.0,50,1.0,0.7928888665493843,0.013301204676635718,0.7615883387785876,0.8251972857501885
Car Evaluation,10.0,50,1.0,0.7937222417692886,0.012829865729192029,0.7627427326799029,0.8251972857501887
Car Evaluation,50.0,50,1.0,0.7938840914802712,0.01298232259029945,0.7627410572170563,0.826355030577197
Synthetic Diagonal,0.1,50,1.0,0.9808432432432432,0.005617628519456824,0.9643243243243245,0.9913513513513512
Synthetic Diagonal,1.0,50,1.0,0.9803243243243243,0.0059055136362151685,0.9632432432432434,0.9902702702702703
Synthetic Diagonal,10.0,50,1.0,0.9801945945945946,0.005627605962377467,0.9664864864864866,0.9902702702702703
Synthetic Diagonal,50.0,50,1.0,0.9801081081081081,0.005486952449924076,0.9664864864864866,0.9891891891891891
