dataset,estimator_count,p_svm,C,mean_acc,std_acc,min_acc,max_acc
Mushroom Data Set,10,0.5,1.0,0.996942393330807,0.004982571372689789,0.9805538461538461,1.0
Mushroom Data Set,20,0.5,1.0,0.9997439333080712,0.0003208864581388898,0.9987687002652519,1.0
Mushroom Data Set,50,0.5,1.0,0.9999064494126563,0.0001567696307554467,0.9992615384615384,1.0
Mushroom Data Set,100,0.5,1.0,0.9999015323986359,0.00013482512264778625,0.9995076923076922,1.0
Wisconsin Breast Cancer,10,0.5,1.0,0.9579711224965066,0.007260137934101675,0.9420121099208197,0.9701288619779538
Wisconsin Breast Cancer,20,0.5,1.0,0.9595895047352896,0.0050877525664732815,0.9490917559385188,0.9683744760130415
Wisconsin Breast Cancer,50,0.5,1.0,0.9604328520416083,0.0035134186009787268,0.9543238627542305,0.9665890389691041
Wisconsin Breast Cancer,100,0.5,1.0,0.9610625679242353,0.002926216125285436,0.956016146561093,0.968390001552554
Wine Quality - Red,10,0.5,1.0,0.6942101971931071,0.019118826212480712,0.6498383371824479,0.7278754071179013
Wine Quality - Red,20,0.5,1.0,0.6890881553857997,0.014031994330768578,0.6581416474210933,0.7167995499496654
Wine Quality - Red,50,0.5,1.0,0.683909217741458,0.009656281700655201,0.6607659146088707,0.6987820216734766
Wine Quality - Red,100,0.5,1.0,0.6839770237460769,0.004364885799944479,0.6756931367323977,0.69093113045538
Car Evaluation,10,0.5,1.0,0.8140986177431515,0.01700758278418546,0.780150791656195,0.8431699757057887
Car Evaluation,20,0.5,1.0,0.8113379911200468,0.017333452169874374,0.7639122057468376,0.8454871408226523
Car Evaluation,50,0.5,1.0,0.8124806567814359,0.013863295391898579,0.7818832202395912,0.8449107816034178
Car Evaluation,100,0.5,1.0,0.8123867638435116,0.009814050366808057,0.7934221328642038,0.8373846024964398
