dataset,p_svm,T,C,mean_acc,std_acc,min_acc,max_acc
Mushroom Data Set,0.0,20,1.0,0.9696953088291019,0.01658685885110988,0.9394410761652141,0.9983993937097384
Mushroom Data Set,0.2,20,1.0,0.9890500917014022,0.013011068934220573,0.9581480863963623,0.9997538461538461
Mushroom Data Set,0.5,20,1.0,0.9997439333080712,0.0003208864581388898,0.9987687002652519,1.0
Mushroom Data Set,0.8,20,1.0,0.9998867571049641,0.00014737974474734303,0.9995076923076922,1.0
Mushroom Data Set,1.0,20,1.0,0.999936,0.00011608444182205489,0.9996307692307692,1.0
Wisconsin Breast Cancer,0.0,20,1.0,0.9453854991460954,0.005864478659712799,0.9384412358329453,0.9578481602235678
Wisconsin Breast Cancer,0.2,20,1.0,0.954454898307716,0.005256963415367727,0.9420431609998448,0.9648812296227295
Wisconsin Breast Cancer,0.5,20,1.0,0.9595895047352896,0.0050877525664732815,0.9490917559385188,0.9683744760130415
Wisconsin Breast Cancer,0.8,20,1.0,0.9586734979040521,0.0022815114118197428,0.9542617605961807,0.9630957925787922
Wisconsin Breast Cancer,1.0,20,1.0,0.9571252911038658,0.003789626341307862,0.9507685142058685,0.9630957925787922
Wine Quality - Red,0.0,20,1.0,0.7247724900811275,0.006135474956344993,0.7127916148516611,0.7340347012494819
Wine Quality - Red,0.2,20,1.0,0.7120461893764436,0.011522686000516714,0.6858570498016227,0.7304945816308402
Wine Quality - Red,0.5,20,1.0,0.6890881553857997,0.014031994330768578,0.6581416474210933,0.7167995499496654
Wine Quality - Red,0.8,20,1.0,0.6713703322082075,0.012580191798982567,0.6401410552496003,0.6909364599988157
Wine Quality - Red,1.0,20,1.0,0.6616738035174987,0.012281610637417936,0.6361404630781073,0.6824768164860544
Car Evaluation,0.0,20,1.0,0.8285914383848538,0.018259018333203654,0.7939850883806652,0.8669129597051185
Car Evaluation,0.2,20,1.0,0.8216767361983749,0.024863160483133587,0.7581352098517214,0.862836558599313
Car Evaluation,0.5,20,1.0,0.8113379911200468,0.017333452169874374,0.7639122057468376,0.8454871408226523
Car Evaluation,0.8,20,1.0,0.7971261791069782,0.02279204028149618,0.7522962218312809,0.8385155399179023
Car Evaluation,1.0,20,1.0,0.7955714166038368,0.019626272733262822,0.7563675965485466,0.8327251403200133
